AUTO_ID,AGENT_ID,TYPE_ACTION,CREATE_DATE
248102,bpomb09,START_SHIFT,1750291343000
248105,bpomb09,START_BREAK,1750291345000
248107,bpomb09,START_WORKING,1750291941000
248109,bpomb09,START_BREAK,1750307671000
248108,bpomb09,START_WORKING,1750307990000
248110,bpomb09,START_BREAK,1750312790000
248103,bpomb09,END_SHIFT,1750313683000
248111,bpomb09,START_WORKING,1750313685000
248104,bpomb09,START_SHIFT,1750315597000
248112,bpomb09,START_BREAK,1750319851000
248113,bpomb09,START_WORKING,1750319945000
248114,bpomb09,START_BREAK,1750328269000
248115,bpomb09,START_WORKING,1750328325000
248116,bpomb09,START_BREAK,1750331221000
248106,bpomb09,END_SHIFT,1750331771000
248117,bpomb09,START_WORKING,1750331772000
249145,bpomb09,START_SHIFT,1750377866000
249151,bpomb09,START_BREAK,1750377868000
249152,bpomb09,START_WORKING,1750378350000
249153,bpomb09,START_BREAK,1750391900000
249154,bpomb09,START_WORKING,1750392588000
249155,bpomb09,START_BREAK,1750393021000
249156,bpomb09,START_WORKING,1750393026000
249146,bpomb09,END_SHIFT,1750393029000
249147,bpomb09,START_SHIFT,1750393032000
249157,bpomb09,START_BREAK,1750397893000
249148,bpomb09,END_SHIFT,1750398356000
249158,bpomb09,START_WORKING,1750398357000
249149,bpomb09,START_SHIFT,1750400250000
249159,bpomb09,START_BREAK,1750408003000
249160,bpomb09,START_WORKING,1750408804000
249161,bpomb09,START_BREAK,1750417076000
249150,bpomb09,END_SHIFT,1750417888000
249162,bpomb09,START_WORKING,1750417889000
251242,bpomb09,START_SHIFT,1750550515000
251247,bpomb09,START_BREAK,1750550517000
251248,bpomb09,START_WORKING,1750551287000
251249,bpomb09,START_BREAK,1750560493000
251250,bpomb09,START_WORKING,1750560811000
251251,bpomb09,START_BREAK,1750568041000
251252,bpomb09,START_WORKING,1750568043000
251253,bpomb09,START_BREAK,1750572377000
251243,bpomb09,END_SHIFT,1750572436000
251254,bpomb09,START_WORKING,1750572437000
251244,bpomb09,START_SHIFT,1750574393000
251255,bpomb09,START_BREAK,1750577812000
251256,bpomb09,START_WORKING,1750578538000
251257,bpomb09,START_BREAK,1750590494000
251246,bpomb09,END_SHIFT,1750591199000
251258,bpomb09,START_WORKING,1750591200000
252381,bpomb09,START_SHIFT,1750656892000
252383,bpomb09,START_BREAK,1750656894000
252387,bpomb09,START_WORKING,1750657628000
252386,bpomb09,START_BREAK,1750671626000
252388,bpomb09,START_WORKING,1750672272000
252389,bpomb09,START_BREAK,1750682562000
252382,bpomb09,END_SHIFT,1750683602000
252390,bpomb09,START_WORKING,1750683604000
252385,bpomb09,START_SHIFT,1750685637000
252391,bpomb09,START_BREAK,1750692442000
252384,bpomb09,END_SHIFT,1750693886000
252392,bpomb09,START_WORKING,1750693888000
253456,bpomb09,START_SHIFT,1750743495000
253461,bpomb09,START_BREAK,1750743498000
253462,bpomb09,START_WORKING,1750744232000
253463,bpomb09,START_BREAK,1750750164000
253465,bpomb09,START_WORKING,1750750631000
253464,bpomb09,START_BREAK,1750761594000
253466,bpomb09,START_WORKING,1750761984000
253468,bpomb09,START_BREAK,1750763233000
253467,bpomb09,START_WORKING,1750763914000
253469,bpomb09,START_BREAK,1750768215000
253458,bpomb09,END_SHIFT,1750768904000
253470,bpomb09,START_WORKING,1750768906000
253459,bpomb09,START_SHIFT,1750770168000
253471,bpomb09,START_BREAK,1750777298000
253472,bpomb09,START_WORKING,1750777730000
253474,bpomb09,START_BREAK,1750778962000
253460,bpomb09,END_SHIFT,1750779309000
253473,bpomb09,START_WORKING,1750779310000
254523,bpomb09,START_SHIFT,1750809713000
254527,bpomb09,START_BREAK,1750809716000
254528,bpomb09,START_WORKING,1750810304000
254529,bpomb09,START_BREAK,1750820765000
254530,bpomb09,START_WORKING,1750821469000
254531,bpomb09,START_BREAK,1750829008000
254532,bpomb09,START_WORKING,1750829587000
254533,bpomb09,START_BREAK,1750831071000
254534,bpomb09,START_WORKING,1750831073000
